# T M E C
5.000000 -0.001471 -0.421011 0.000021
4.900000 0.001384 -0.432397 0.000024
4.800000 0.004622 -0.440266 0.000026
4.700000 -0.001120 -0.453262 0.000027
4.600000 -0.000196 -0.464597 0.000028
4.500000 -0.000609 -0.476325 0.000029
4.400000 0.001996 -0.490196 0.000034
4.300000 0.000258 -0.501627 0.000033
4.200000 0.001556 -0.513908 0.000034
4.100000 -0.000521 -0.529334 0.000039
4.000000 0.000713 -0.547741 0.000040
3.900000 0.003635 -0.565272 0.000042
3.800000 0.003170 -0.585732 0.000052
3.700000 0.002104 -0.604192 0.000046
3.600000 -0.005130 -0.624972 0.000056
3.500000 -0.004296 -0.648003 0.000061
3.400000 0.005033 -0.674900 0.000059
3.300000 0.004760 -0.700523 0.000072
3.200000 0.004660 -0.734883 0.000073
3.100000 0.000249 -0.762753 0.000096
3.000000 -0.003340 -0.800965 0.000095
2.900000 -0.018817 -0.839791 0.000107
2.800000 0.002361 -0.885346 0.000136
2.700000 -0.010639 -0.946833 0.000147
2.600000 -0.016333 -1.005060 0.000145
2.500000 -0.056239 -1.078833 0.000155
2.400000 0.055930 -1.159776 0.000187
2.300000 -0.132921 -1.279234 0.000311
2.200000 -0.084532 -1.392960 0.000239
2.100000 -0.486568 -1.521960 0.000234
2.000000 -0.866913 -1.675201 0.000226
1.900000 -0.916532 -1.751922 0.000146
1.800000 -0.941426 -1.805313 0.000120
1.700000 -0.959682 -1.850249 0.000095
1.600000 -0.971981 -1.883593 0.000064
1.500000 -0.981205 -1.909336 0.000057
1.400000 -0.987715 -1.929372 0.000040
1.300000 -0.992613 -1.944305 0.000030
1.200000 -0.995755 -1.954532 0.000017
1.100000 -0.997743 -1.960980 0.000012
1.000000 -0.998799 -1.964730 0.000007
0.900000 -0.999468 -1.966953 0.000004
0.800000 -0.999803 -1.968063 0.000002
0.700000 -0.999945 -1.968576 0.000001
0.600000 -0.999989 -1.968711 0.000000
0.500000 -1.000000 -1.968750 0.000000
0.400000 -0.999999 -1.968747 0.000000
0.300000 -1.000000 -1.968750 0.000000
0.200000 -1.000000 -1.968750 0.000000
0.100000 -1.000000 -1.968750 0.000000
